Nome,Cidade,Estado,Telefone,Site,Email,Fonte
UDDO - Clínica de Diagnósticos Médicos,São Paulo,SP,(11) 3254-6800,https://uddo.com.br/,contato@uddo.com.br,Google Search
Fleury Medicina e Saúde,São Paulo,SP,(11) 3179-0800,https://www.fleury.com.br/,,Google Search
Hcor Diagnóstico,São Paulo,SP,(11) 3053-6611,https://www.hcor.com.br/exames-e-consultas/hcor-diagnostico/,,Google Search
Nova Imagem Radiologia,Diadema,SP,(11) 4057-4405,https://novaimagemradiologia.com.br/,contato@novaimagem.com.br,Google Search
Eigier Diagnósticos,São Paulo,SP,,https://eigierdiagnosticos.com.br/,,Google Search
Lavoisier - Shopping Raposo,São Paulo,SP,(11) 3003-2595,https://www.lavoisier.com.br/,,ValeSaúde
Lavoisier - Carrão,São Paulo,SP,(11) 3003-2595,https://www.lavoisier.com.br/,,ValeSaúde
Lavoisier - Guaianases,São Paulo,SP,(11) 3003-2595,https://www.lavoisier.com.br/,,ValeSaúde
Lavoisier - Faria Lima,São Paulo,SP,(11) 3003-2595,https://www.lavoisier.com.br/,,ValeSaúde
Lavoisier - Metrô Butantã,São Paulo,SP,(11) 3003-2595,https://www.lavoisier.com.br/,,ValeSaúde
GIMI Instituto de Radiologia e Ultrassonografia,São Paulo,SP,(11) 3796-6500,,,ValeSaúde
Salomão e Zoppi - Panamby,São Paulo,SP,(11) 5576-7878,https://www.salomaoezoppi.com.br/,agendamento@szd.com.br,ValeSaúde
Salomão e Zoppi - Angélica,São Paulo,SP,(11) 5576-7878,https://www.salomaoezoppi.com.br/,agendamento@szd.com.br,ValeSaúde
CDB - Ana Rosa,São Paulo,SP,(11) 5080-6000,https://www.cdb.com.br/,,ValeSaúde
Medicom - Santo André,São Paulo,SP,(11) 2206-1364,,,Doctoralia
Medicom - Tucuruvi,São Paulo,SP,(11) 2206-1364,,,Doctoralia
ZDI Diagnósticos & Imagens,São Paulo,SP,,,,Doctoralia
Dimedi,São Paulo,SP,,,,Doctoralia
BP Medicina Diagnóstica,São Paulo,SP,(11) 3103-6600,https://www.bp.org.br/diagnosticos/exames/exames-de-imagem,,Google Search
Clínica Soler - São Mateus,São Paulo,SP,(11) 2014-4599,https://clinicasoler.com.br/,,Google Search
Clínica Soler - Centro,São Paulo,SP,(11) 3530-0007,https://clinicasoler.com.br/,,Google Search
CDI São Mateus,São Paulo,SP,,,,Prefeitura SP
DASA - Diagnósticos da América,São Paulo,SP,(11) 3003-0059,https://dasa.com.br/,,Google Search
Alta Diagnósticos,São Paulo,SP,(11) 3094-8500,https://www.altadiagnosticos.com.br/,,Google Search
Diagnoson - Unidade Centro,São Paulo,SP,(11) 3101-7100,https://www.diagnoson.com.br/,,Google Search
Lumen Diagnósticos,São Paulo,SP,(11) 3179-0822,https://www.lumendiagnosticos.com.br/,,Google Search
CURA Grupo - Diagnóstico por Imagem,São Paulo,SP,(11) 3272-6200,https://www.curagrupo.com.br/,,Google Search
CEDIR - Centro de Diagnóstico por Imagem,Campinas,SP,(19) 3707-6000,https://www.cedir.com.br/,,Google Search
Instituto Hermes Pardini - Unidade Campinas,Campinas,SP,,https://www.hermespardini.com.br/,,Google Search
Life Imagem Diagnóstico por Imagem,Rio de Janeiro,RJ,(21) 2672-9072,https://www.lifeimagem.com.br/,,Google Search
Hospital Pasteur - Centro de Imagem,Rio de Janeiro,RJ,(21) 2104-4400,https://www.hospitalpasteur.com.br/,faleconosco@hospitalpasteur.com.br,Google Search
CDPI - Centro de Diagnóstico por Imagem,Rio de Janeiro,RJ,(21) 3094-7700,https://cdpi.com.br/,,Google Search
Clínica de Radiologia RJ - Exames de Imagem,Rio de Janeiro,RJ,(21) 97312-6113,https://clinicarj.com.br/,,Google Search
Centro de Medicina - Laboratório e Exames,Rio de Janeiro,RJ,(21) 2672-9072,https://www.centrodemed.com.br/,,Google Search
Imagem Integrada,Rio de Janeiro,RJ,,https://imagemintegrada.com.br/,,Google Search
Clínica Felippe Mattoso,Rio de Janeiro,RJ,,https://www.fmattoso.com.br/,,Google Search
Casa de Saúde São José - CDI,Rio de Janeiro,RJ,(21) 2195-0250,https://redesantacatarina.org.br/hospital/saojose-rio/,,Google Search
Instituto Hermes Pardini - Unidade Miguel Couto,Rio de Janeiro,RJ,,https://www.hermespardini.com.br/,,ValeSaúde
Multi-Imagem Diagnósticos,Rio de Janeiro,RJ,(21) 2535-4900,https://www.multi-imagem.com.br/,,Google Search
CERPE - Centro de Radiologia e Propedêutica Especializada,Rio de Janeiro,RJ,,https://www.cerpe.com.br/,,Google Search
Delfin Medicina Diagnóstica,Rio de Janeiro,RJ,(21) 2533-7000,https://www.delfin.com.br/,,Google Search
Radimagem Diagnóstico por Imagem,Rio de Janeiro,RJ,,https://www.radimagem.com.br/,,Google Search
CADI - Centro Avançado de Diagnóstico por Imagem,Rio de Janeiro,RJ,(21) 2233-4200,,,Google Search
Diagnose - Centro de Diagnóstico por Imagem,Rio de Janeiro,RJ,,,,Google Search
CDPI - Unidade Niterói,Niterói,RJ,,https://cdpi.com.br/unidades/,,Google Search
CDPI - Unidade Barra,Rio de Janeiro,RJ,,https://cdpi.com.br/unidades/,,Google Search
Richet Medicina & Diagnóstico,Rio de Janeiro,RJ,(21) 3003-2233,https://www.richet.com.br/,,Google Search
Lavoisier - Unidade Rio de Janeiro,Rio de Janeiro,RJ,(21) 3003-2595,https://www.lavoisier.com.br/,,ValeSaúde
Labi Exames - Unidade RJ,Rio de Janeiro,RJ,,https://labiexames.com.br/imagens/,,Google Search
CEDIRJ - Centro de Diagnóstico por Imagem RJ,Rio de Janeiro,RJ,,,,Google Search
Clinimage - Diagnóstico por Imagem,Rio de Janeiro,RJ,,,,Google Search
DASA - Unidade Rio de Janeiro,Rio de Janeiro,RJ,(21) 3003-0059,https://dasa.com.br/,,Google Search
Fleury - Unidade Rio de Janeiro,Rio de Janeiro,RJ,(21) 3179-0800,https://www.fleury.com.br/,,Google Search
CEDIR - Unidade Ribeirão Preto,Ribeirão Preto,SP,(16) 3707-6000,https://www.cedir.com.br/,,Google Search
IMAG - Instituto de Medicina Avançada de Guarulhos,Guarulhos,SP,(11) 2440-4000,,,Google Search
CDI - Centro Diagnóstico por Imagem São José dos Campos,São José dos Campos,SP,(12) 3903-2000,,,Google Search
