Nome,Cidade,Estado,Telefone,Site,Email,Fonte,CNPJ,Endereco,Modalidades,Unidades,Nome Decisor,Cargo,Coordenacao Tecnica,Direcao Clinica,LinkedIn Clinica,LinkedIn Decisor,Observacoes
UDDO - Clínica de Diagnósticos Médicos,São Paulo,SP,(11) 3254-6800,https://uddo.com.br/,contato@uddo.com.br,Google Search,59.586.321/0001-62,"Rua Itapeva, 366, Bela Vista, Sao Paulo - SP, 01332-900","RX, Densitometria Ossea, US, Mamografia",1,Shlomo Lewin,Sócio-Administrador,Não encontrado,Não encontrado,https://www.linkedin.com/company/uddo-unidade-diagnostico-densitometria/,Não encontrado,Fundada em 1988. Foco em diagnostico por imagem e densitometria ossea.
Fleury Medicina e Saúde,São Paulo,SP,(11) 3179-0800,https://www.fleury.com.br/,central@fleury.com.br,Google Search,60.840.055/0001-31,"Av. General Valdomiro de Lima, 508, Jabaquara, São Paulo - SP, 04344-070","RX, TC, RM, Mamografia, Densitometria, US, PET-CT, Medicina Nuclear",200+,Jeane Tsutsui,CEO,Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/fleury/,https://www.linkedin.com/in/jeane-tsutsui/,Rede nacional. Capital aberto (FLRY3).
Hcor Diagnóstico,São Paulo,SP,(11) 3053-6611,https://www.hcor.com.br/exames-e-consultas/hcor-diagnostico/,contato@hcor.com.br,Google Search,60.149.752/0001-03,"Rua Desembargador Eliseu Guilherme, 147, Paraíso, São Paulo - SP, 04004-030","RX, TC, RM, Mamografia, US, Hemodinâmica, Medicina Nuclear",1 (Hospital do Coração),Antônio Sérgio Petrilli,Superintendente Geral,Centralizado no Hcor,Centralizado no Hcor,https://www.linkedin.com/company/hcor/,https://www.linkedin.com/in/antoniosergiopetrilli/,Hospital de referência. Foco cardiológico mas radiologia completa.
Nova Imagem Radiologia,Diadema,SP,(11) 4057-4405,https://novaimagemradiologia.com.br/,contato@novaimagem.com.br,Google Search,28.812.334/0001-89,"Rua Sao Joaquim, 192, Centro, Diadema - SP, 09911-020","RX, US, Densitometria",1,Rosana da Silva,Sócia-Administradora,Não encontrado,Não encontrado,https://novaimagemradiologia.com.br/,Não encontrado,Fundada em 2017. Atende tambem odontologia (CNPJ relacionado: 33.551.361/0001-85).
Eigier Diagnósticos,São Paulo,SP,(11) 3062-0000,https://eigierdiagnosticos.com.br/,contato@eigierdiagnosticos.com.br,Google Search,45.544.434/0001-90,"Rua Estados Unidos, 2230, Jardim America, Sao Paulo - SP, 01427-002","US, Doppler, Ecocardiograma",1,Alberto Eigier,Sócio-Administrador,Alberto Eigier,Alberto Eigier,https://eigierdiagnosticos.com.br/,Não encontrado,Fundada em 1974. Foco em ultrassonografia e diagnostico sem radiacao ionizante.
Lavoisier - Shopping Raposo,São Paulo,SP,(11) 3003-2595,https://www.lavoisier.com.br/,central@fleury.com.br,ValeSaúde,60.840.055/0001-31,"Av. Paulista, 726, Bela Vista, São Paulo - SP","RX, TC, RM, Mamografia, US, Densitometria",90+ (parte do Grupo Fleury),Jeane Tsutsui,CEO (Grupo Fleury),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/fleury/,https://www.linkedin.com/in/jeane-tsutsui/,Parte do Grupo Fleury. Mesmo CNPJ controlador.
Lavoisier - Carrão,São Paulo,SP,(11) 3003-2595,https://www.lavoisier.com.br/,central@fleury.com.br,ValeSaúde,60.840.055/0001-31,"Av. Paulista, 726, Bela Vista, São Paulo - SP","RX, TC, RM, Mamografia, US, Densitometria",90+ (parte do Grupo Fleury),Jeane Tsutsui,CEO (Grupo Fleury),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/fleury/,https://www.linkedin.com/in/jeane-tsutsui/,Parte do Grupo Fleury. Mesmo CNPJ controlador.
Lavoisier - Guaianases,São Paulo,SP,(11) 3003-2595,https://www.lavoisier.com.br/,central@fleury.com.br,ValeSaúde,60.840.055/0001-31,"Av. Paulista, 726, Bela Vista, São Paulo - SP","RX, TC, RM, Mamografia, US, Densitometria",90+ (parte do Grupo Fleury),Jeane Tsutsui,CEO (Grupo Fleury),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/fleury/,https://www.linkedin.com/in/jeane-tsutsui/,Parte do Grupo Fleury. Mesmo CNPJ controlador.
Lavoisier - Faria Lima,São Paulo,SP,(11) 3003-2595,https://www.lavoisier.com.br/,central@fleury.com.br,ValeSaúde,60.840.055/0001-31,"Av. Paulista, 726, Bela Vista, São Paulo - SP","RX, TC, RM, Mamografia, US, Densitometria",90+ (parte do Grupo Fleury),Jeane Tsutsui,CEO (Grupo Fleury),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/fleury/,https://www.linkedin.com/in/jeane-tsutsui/,Parte do Grupo Fleury. Mesmo CNPJ controlador.
Lavoisier - Metrô Butantã,São Paulo,SP,(11) 3003-2595,https://www.lavoisier.com.br/,central@fleury.com.br,ValeSaúde,60.840.055/0001-31,"Av. Paulista, 726, Bela Vista, São Paulo - SP","RX, TC, RM, Mamografia, US, Densitometria",90+ (parte do Grupo Fleury),Jeane Tsutsui,CEO (Grupo Fleury),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/fleury/,https://www.linkedin.com/in/jeane-tsutsui/,Parte do Grupo Fleury. Mesmo CNPJ controlador.
GIMI Instituto de Radiologia e Ultrassonografia,São Paulo,SP,(11) 3796-6500,Não encontrado,Não encontrado,ValeSaúde,58.800.558/0002-12,"Praca Silva Teles, 67, Itaim Paulista, Sao Paulo - SP, 08140-010","RX, US, Mamografia, Densitometria",1,Paschoal Graziano Filho,Sócio-Administrador,Paschoal Graziano Filho (Sócio-Administrador),Paschoal Graziano Filho (Sócio-Administrador),Não encontrado,Não encontrado,Fundada em 1999. Atua em radiologia e ultrassonografia na Zona Leste de SP.
Salomão e Zoppi - Panamby,São Paulo,SP,(11) 5576-7878,https://www.salomaoezoppi.com.br/,agendamento@szd.com.br,ValeSaúde,45.796.554/0006-90,"Alameda Joaquim Eugenio de Lima, 383, Jardim Paulista, Sao Paulo - SP, 01403-001","RX, TC, RM, Mamografia, US, Densitometria, PET-CT",2+ (parte do Grupo DASA/Delboni),Lício Cintra,CEO (Grupo DASA),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/dasa/,https://www.linkedin.com/in/pedro-bueno-dasa/,Parte do Grupo DASA (Delboni Medicina Diagnostica S.A.). Referencia em diagnostico por imagem.
Salomão e Zoppi - Angélica,São Paulo,SP,(11) 5576-7878,https://www.salomaoezoppi.com.br/,agendamento@szd.com.br,ValeSaúde,45.796.554/0006-90,"Alameda Joaquim Eugenio de Lima, 383, Jardim Paulista, Sao Paulo - SP, 01403-001","RX, TC, RM, Mamografia, US, Densitometria, PET-CT",2+ (parte do Grupo DASA/Delboni),Lício Cintra,CEO (Grupo DASA),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/dasa/,https://www.linkedin.com/in/pedro-bueno-dasa/,Parte do Grupo DASA. Mesmo CNPJ controlador (Delboni).
CDB - Ana Rosa,São Paulo,SP,(11) 5080-6000,https://www.cdb.com.br/,contato@cdb.com.br,ValeSaúde,03.506.131/0001-84,"Rua Capote Valente, 500, Pinheiros, São Paulo - SP","RX, TC, RM, Mamografia, US, Densitometria",20+,Bruno Gottardo,CEO,Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/cdb-diagnosticos/,https://www.linkedin.com/company/cdb-diagnosticos/,Rede de diagnósticos em SP.
Medicom - Santo André,São Paulo,SP,(11) 2206-1364,Não encontrado,Não encontrado,Doctoralia,Não encontrado,Sao Paulo - SP (unidade Santo Andre/Tucuruvi),"RX, US, Mamografia",2,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Pequena clinica de diagnostico por imagem. Fonte: Doctoralia.
Medicom - Tucuruvi,São Paulo,SP,(11) 2206-1364,Não encontrado,Não encontrado,Doctoralia,Não encontrado,Sao Paulo - SP (unidade Tucuruvi),"RX, US, Mamografia",2,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Pequena clinica de diagnostico por imagem. Fonte: Doctoralia.
ZDI Diagnósticos & Imagens,São Paulo,SP,(11) 2602-0000,Não encontrado,Não encontrado,Doctoralia,03.453.378/0001-39,"Rua Padre Adelino, 731, Quarta Parada, Sao Paulo - SP, 03303-000","RX, TC, US, Mamografia, Densitometria",1,Iman Hassan Zoghbi Oliveira,Sócio-Administrador,Iman Hassan Zoghbi Oliveira,Iman Hassan Zoghbi Oliveira,Não encontrado,Não encontrado,Fundada em 1999. Clinica de diagnostico por imagem na Zona Leste de SP.
Dimedi,São Paulo,SP,(11) 5031-3394,Não encontrado,Não encontrado,Doctoralia,68.967.843/0001-03,"Rua Helade, 205, Jardim Brasil, Sao Paulo - SP, 04634-000","RX, US, TC, Mamografia",1,Luiz Antonio Rossi,Sócio-Administrador,Luiz Antonio Rossi,Luiz Antonio Rossi,Não encontrado,Não encontrado,Fundada em 1992. Diagnosticos Medicos por Imagem. Zona Sul de SP.
BP Medicina Diagnóstica,São Paulo,SP,(11) 3103-6600,https://www.bp.org.br/diagnosticos/exames/exames-de-imagem,contato@bp.org.br,Google Search,60.922.281/0001-60 (Real e Benemérita Associação Portuguesa de Beneficência),"Rua Maestro Cardim, 769, Paraiso, Sao Paulo - SP (Hospital BP)","RX, TC, RM, US, Mamografia, Hemodinamica, Medicina Nuclear",1 (Hospital BP),Dr. Rubens Belfort Mattos Junior,Presidente (BP),Centralizado no Hospital BP,Centralizado no Hospital BP,https://www.linkedin.com/company/beneficencia-portuguesa/,https://www.linkedin.com/company/beneficencia-portuguesa/,Parte do Hospital Beneficencia Portuguesa (BP). Hospital de referencia em SP.
Clínica Soler - São Mateus,São Paulo,SP,(11) 2014-4599,https://clinicasoler.com.br/,contato@clinicasoler.com.br,Google Search,Não encontrado,"Av. Satelite, 84, Cidade Satelite Santa Barbara, Sao Mateus, Sao Paulo - SP, 08330-480","RX, US, Mamografia, Densitometria",2,Não encontrado,Não encontrado,Não encontrado,Não encontrado,https://clinicasoler.com.br/,Não encontrado,Clinica de diagnostico e odontologia. Duas unidades: Sao Mateus e Tatuape (Centro).
Clínica Soler - Centro,São Paulo,SP,(11) 3530-0007,https://clinicasoler.com.br/,contato@clinicasoler.com.br,Google Search,Não encontrado,Sao Paulo - SP (Unidade Tatuape),"RX, US, Mamografia, Densitometria",2,Não encontrado,Não encontrado,Não encontrado,Não encontrado,https://clinicasoler.com.br/,Não encontrado,Unidade Tatuape/Centro da Clinica Soler. Mesma rede.
CDI São Mateus,São Paulo,SP,Não encontrado,Não encontrado,Não encontrado,Prefeitura SP,CNPJ da Prefeitura de São Paulo (serviço público municipal),"Sao Mateus, Sao Paulo - SP","RX, US",1,Não encontrado (gestão pública),Não encontrado (gestão pública),Não encontrado (gestão pública),Não encontrado (gestão pública),Não encontrado,Não encontrado,Centro de Diagnostico por Imagem da rede publica municipal (Prefeitura de SP).
